class,id
1,271
1,139
1,993
1,613
1,7
1,52
1,1054
1,575
1,326
1,179
1,242
1,1168
1,869
1,67
1,1204
1,394
1,827
1,229
1,168
1,5
1,76
1,445
0,1721
1,263
1,448
1,1320
1,96
0,1752
1,290
1,262
1,1056
1,537
1,203
1,302
0,1944
1,160
1,544
1,466
1,257
1,261
0,437
1,1142
1,647
1,342
1,885
1,324
1,32
1,1197
1,146
1,1261
1,41
1,805
1,353
1,148
1,555
1,279
0,496
1,423
0,700
1,235
1,1183
1,123
1,277
1,198
1,237
1,1141
1,64
1,478
1,602
1,239
1,112
1,164
1,1024
1,521
1,196
0,397
1,1162
1,321
1,380
1,393
1,305
1,558
1,864
1,671
1,320
1,726
1,23
1,422
1,143
1,983
1,95
1,565
1,666
1,329
1,651
1,91
1,517
1,492
1,697
1,169
1,181
1,118
1,38
1,53
1,204
1,643
1,151
1,166
1,625
1,936
1,211
1,382
1,1088
1,638
1,401
1,579
1,86
1,880
1,351
1,116
1,227
1,719
1,367
1,238
1,131
1,534
1,548
1,689
1,247
1,1026
1,65
1,375
1,107
1,124
1,656
1,503
1,90
1,165
1,101
1,628
1,292
1,611
1,157
1,417
1,115
1,195
1,232
0,1772
1,598
1,421
1,58
1,1126
1,24
1,728
1,500
1,408
1,699
1,212
1,17
1,150
1,21
1,583
1,381
1,35
1,585
1,77
1,312
1,572
1,133
0,1646
1,158
1,110
1,89
1,172
1,386
