freq,premier_pay,dealer,an,marque,modele,depot,prix_auto,pour_depot,km,creation_dossier,sexe,code_postal,ristourne,cheque_dealer,sommes_des_couts,terme,age,class
Par jour(s),71.0,81_dealer,2004.0,kia,sorento,0.0,1000.0,0.0,0,,0.0,,0.0,0.0,1871.3333333333333,52,,0
Par jour(s),99.83,99_dealer,2006.0,mercedes,b200,1200.0,6000.0,0.2,0,,1.0,,0.0,0.0,5376.333333333333,104,,0
Par jour(s),105.84,224_dealer,2008.0,nissan,altima,500.0,5000.0,0.1,215500,2017-04-14,0.0,j2g,400.0,5209.9,5312.12,104,48.0,0
Mensuelle,196.45,99_dealer,2006.0,pontiac,montana,0.0,4116.28,0.0,0,,0.0,j4j,0.0,0.0,4516.28,30,,0
Par jour(s),97.17,109_dealer,2010.0,honda,civic,500.0,5995.0,0.08340283569641367,142145,,1.0,h1e,400.0,6254.65,6307.12,156,,0
Par jour(s),100.13,71_dealer,2006.0,dodge,charger,1000.0,6000.0,0.16666666666666666,215000,2017-07-06,1.0,g1m,0.0,5300.0,5877.25,130,47.0,0
Par jour(s),136.53,6_dealer,2007.0,bmw,328xi,2000.0,9995.0,0.2001000500250125,0,,1.0,h8p,0.0,0.0,8725.333333333334,130,,0
Par jour(s),95.0,256_dealer,2010.0,jeep,patriot,3600.0,8900.0,0.4044943820224719,193000,2017-08-14,0.0,j4r,0.0,5745.0,6515.88,156,73.0,0
Par jour(s),98.28,120_dealer,2009.0,pontiac,g6,500.0,5995.0,0.08340283569641367,0,,1.0,j0k,0.0,6254.65,6242.0,156,,0
Par jour(s),201.75,82_dealer,2005.0,bmw,323x8,1000.0,6760.0,0.14792899408284024,169500,,,h7n,300.0,6442.93,6637.25,78,,0
Par jour(s),93.68,217_dealer,2004.0,porsche,cayenne,0.0,4250.0,0.0,0,2016-01-04,1.0,j0d,0.0,5496.13,4997.0,104,42.0,0
Par jour(s),190.69,92_dealer,2006.0,chevrolet,malibu,300.0,2300.0,0.13043478260869565,196000,2017-04-19,1.0,j6s,0.0,2115.0,2339.0699999999997,20,22.0,0
Par jour(s),134.33,176_dealer,2007.0,bmw,x5,4000.0,11995.0,0.3334722801167153,150000,2017-06-12,1.0,h7h,0.0,8594.75,9379.646666666666,156,28.0,0
Par jour(s),138.76,0_dealer,2008.0,mitsubishi,lancer,1500.0,4995.0,0.3003003003003003,117000,2017-07-14,0.0,j7j,0.0,3744.75,4437.37,78,33.0,0
Par jour(s),91.59,36_dealer,2006.0,jeep,liberty,1580.0,5995.0,0.2635529608006672,0,,1.0,,0.0,0.0,4991.333333333333,104,,0
Par jour(s),102.44,142_dealer,2009.0,mazda,cx7,1000.0,6900.0,0.14492753623188406,0,,1.0,j7y,0.0,6245.0,6647.0,156,,0
Par jour(s),65.63,191_dealer,2006.0,chrysler,pacifica,1000.0,3245.0,0.3081664098613251,259000,,0.0,j0l,0.0,2407.25,2722.25,78,,0
Par jour(s),82.07,88_dealer,2007.0,dodge,caravan,500.0,3695.0,0.13531799729364005,0,,1.0,j0k,0.0,3379.75,3942.0,104,,0
Par jour(s),122.78,0_dealer,2007.0,mazda,5,500.0,2700.0,0.18518518518518517,203000,,0.0,g0s,0.0,2335.0,2612.12,52,,0
Par jour(s),215.95,241_dealer,2005.0,acura,rsx,500.0,5995.0,0.08340283569641367,157000,,1.0,j5t,400.0,6254.65,6307.12,65,,0
Par jour(s),106.85,49_dealer,2011.0,huyndai,sonata,500.0,5995.0,0.08340283569641367,210900,2017-05-26,1.0,h3w,0.0,5797.75,6307.12,130,35.0,0
Par jour(s),108.97,99_dealer,2007.0,volkswagen,gli,1600.0,6999.0,0.22860408629804257,0,,1.0,,0.0,0.0,9046.42,104,,0
Par jour(s),92.44,6_dealer,2007.0,mini,cooper,1500.0,6995.0,0.21443888491779842,0,,1.0,j5l,0.0,0.0,6225.333333333333,156,,0
Par jour(s),100.0,73_dealer,2005.0,acura,rl,1400.0,7300.0,0.1917808219178082,0,,1.0,h7w,0.0,6839.88,6647.0,156,,0
Par jour(s),204.63,185_dealer,2006.0,acura,a4,1000.0,6788.0,0.1473187978786093,0,,1.0,j3p,0.0,6587.3,6535.0,78,,0
Par jour(s),175.39,97_dealer,2007.0,dodge,caliber,300.0,2295.0,0.13071895424836602,179582,2017-06-21,0.0,j5k,0.0,2109.75,2257.0699999999997,20,36.0,0
Par jour(s),176.36,109_dealer,2004.0,volkswagen,jetta,300.0,2400.0,0.125,0,,0.0,j6s,0.0,2220.0,2293.0,20,,0
Par jour(s),130.22,73_dealer,2010.0,volkswagen,passat,2000.0,10299.0,0.1941936110301971,0,,1.0,h7e,0.0,9388.83,9046.0,156,,0
Par jour(s),121.99,73_dealer,2006.0,mercedes,c230,500.0,5995.0,0.08340283569641367,0,,1.0,h4l,0.0,6945.75,6242.0,104,,0
Par jour(s),131.27,84_dealer,2006.0,chrysler,300,1200.0,3295.0,0.36418816388467373,198000,2017-05-18,1.0,g1m,400.0,2719.65,2598.3,52,51.0,0
Par jour(s),79.56,240_dealer,2007.0,huyndai,tucson,750.0,3750.0,0.2,0,2015-12-22,1.0,g5v,0.0,3187.5,3347.0,104,44.0,0
Par jour(s),153.08,160_dealer,2004.0,mazda,6,600.0,2995.0,0.2003338898163606,0,2016-01-22,1.0,j2j,0.0,2544.75,2742.0,39,25.0,0
Par jour(s),134.22,31_dealer,2007.0,dodge,ram,2000.0,9995.0,0.2001000500250125,153000,2017-07-27,1.0,j7j,0.0,8494.75,9035.823333333334,156,30.0,0
Par jour(s),102.7,2_dealer,2009.0,mitsubishi,outlander,1400.0,7270.0,0.19257221458046767,169000,2017-08-09,1.0,h4e,0.0,6233.5,6799.34,156,37.0,0
Par jour(s),101.88,194_dealer,,mazda,6,2500.0,8295.0,0.3013863773357444,178986,2017-07-07,0.0,j7r,0.0,6209.75,6867.61,156,25.0,0
Par jour(s),180.04,109_dealer,2010.0,ford,fusion,1000.0,5995.0,0.16680567139282734,168416,2017-05-15,1.0,j0h,400.0,5754.65,5938.916666666667,78,42.0,0
Par jour(s),78.57,109_dealer,2008.0,ford,escape,1000.0,4094.0,0.24425989252564728,0,,1.0,j4k,0.0,0.0,3857.6666666666665,104,,0
Par jour(s),98.28,120_dealer,2008.0,mitsubishi,lancer,500.0,5995.0,0.08340283569641367,0,,1.0,j0b,0.0,6254.65,6242.0,156,,0
Par jour(s),106.84,159_dealer,2008.0,infiniti,g35,3000.0,9000.0,0.3333333333333333,0,,1.0,h7h,0.0,6450.0,6747.0,156,,0
Par jour(s),146.35,0_dealer,2009.0,chrysler,ptcruiser,500.0,2995.0,0.1669449081803005,113250,2017-06-29,0.0,j5l,0.0,2644.75,2907.12,52,46.0,0
Par jour(s),93.16,181_dealer,2008.0,jeep,compass,1000.0,4985.0,0.20060180541624875,0,2016-10-20,0.0,j6z,0.0,5270.4,4732.0,104,31.0,0
Par jour(s),140.0,69_dealer,2002.0,mazda,626,500.0,1790.0,0.27932960893854747,159800,2017-04-06,1.0,h4b,0.0,1379.5,1548.12,18,33.0,0
Par jour(s),155.39,97_dealer,2004.0,dodge,dakota,0.0,0.0,,152000,,0.0,h7m,0.0,3595.0,4147.0,52,,0
Par jour(s),50.0,0_dealer,2003.0,saturn,ion,300.0,1495.0,0.20066889632107024,172000,,1.0,j0k,0.0,1269.75,1383.7366666666667,18,,0
Par jour(s),60.67,99_dealer,2001.0,huyndai,tiburon,500.0,2999.0,0.16672224074691563,0,2015-05-15,0.0,,0.0,1298.95,2675.3333333333335,104,,0
Par jour(s),77.87,99_dealer,1999.0,ford,mustang,1100.0,4500.0,0.24444444444444444,0,,0.0,j4k,0.0,0.0,3976.3333333333335,104,,0
Par jour(s),97.76,241_dealer,2009.0,chevrolet,malibu,750.0,5495.0,0.1364877161055505,200000,2017-05-16,1.0,h4h,400.0,5479.65,5589.7,130,27.0,0
Par jour(s),244.99,73_dealer,2006.0,bmw,325,0.0,0.0,,0,2016-05-06,1.0,h7v,500.0,7294.75,7142.0,65,,0
Par jour(s),89.95,15_dealer,2007.0,chrysler,300touring,2000.0,7000.0,0.2857142857142857,150000,2017-07-21,1.0,h1a,400.0,5809.9,6007.49,156,39.0,0
Par jour(s),95.35,36_dealer,2007.0,chevrolet,aveo,500.0,2895.0,0.17271157167530224,0,,1.0,j3e,0.0,0.0,2571.3333333333335,52,,0
Par jour(s),88.25,17_dealer,2009.0,mitsubishi,eclipse,600.0,5390.0,0.11131725417439703,143000,,1.0,j4k,400.0,5519.4,5615.15,156,,0
Par jour(s),225.77,88_dealer,2010.0,mazda,cx9,3272.52,10911.0,0.2999285125103107,0,2016-01-22,1.0,j2c,0.0,8184.03,8385.48,78,,0
Mensuelle,341.52,232_dealer,2005.0,chevrolet,malibu,1200.0,6991.0,0.17164926333857816,0,,1.0,j2c,0.0,0.0,6538.0,36,,0
Par jour(s),63.93,109_dealer,2006.0,chevrolet,cobalt,750.0,2995.0,0.25041736227045075,0,,1.0,h8n,0.0,2594.75,2592.0,104,,0
Par jour(s),118.52,0_dealer,2009.0,acura,a4,2000.0,9000.0,0.2222222222222222,163650,2017-07-05,1.0,j5j,0.0,7450.0,8074.156666666667,156,41.0,0
Par jour(s),130.98,70_dealer,2009.0,nissan,murano,2000.0,9799.0,0.20410245943463617,148000,2017-07-05,1.0,j4l,400.0,8748.85,8906.49,156,46.0,0
Par jour(s),185.7,49_dealer,2006.0,infiniti,m35,3600.0,9995.0,0.3601800900450225,0,,0.0,j3a,0.0,0.0,6971.333333333333,78,,0
Par jour(s),97.39,241_dealer,2008.0,nissan,rogue,2500.0,7995.0,0.31269543464665417,0,,0.0,j0k,0.0,6354.65,6242.0,156,,0
Par jour(s),194.33,189_dealer,2009.0,mercedes,b200,500.0,5995.0,0.08340283569641367,181000,2017-08-01,1.0,j0v,400.0,6254.65,6307.12,78,26.0,0
Par jour(s),104.61,17_dealer,2009.0,dodge,journey,1400.0,7390.0,0.18944519621109607,152000,2017-07-05,1.0,j0l,400.0,6819.4,6936.006666666667,156,35.0,0
Par jour(s),99.81,0_dealer,2004.0,bmw,745l,800.0,5700.0,0.14035087719298245,0,,,h4n,0.0,5185.0,5647.0,130,,0
Par jour(s),165.76,214_dealer,2009.0,dodge,charger,1500.0,5995.0,0.25020850708924103,167442,2017-04-13,1.0,j0r,540.0,4794.75,5437.37,78,41.0,0
Par jour(s),126.04,20_dealer,,nissan,nan,,,,0,,0.0,j3y,0.0,,9776.333333333334,104,44.0,0
Par jour(s),455.35,241_dealer,2005.0,nissan,murano,300.0,5999.0,0.050008334722453744,205000,,1.0,j0l,400.0,6458.85,6485.07,52,,0
Par jour(s),75.22,99_dealer,2005.0,ford,freestar,430.0,2499.0,0.1720688275310124,0,,1.0,j4h,0.0,3622.5,4997.0,156,,0
Par jour(s),188.95,73_dealer,2007.0,dodge,nitro,1500.0,5995.0,0.25020850708924103,0,,1.0,j7e,0.0,0.0,5242.0,65,,0
Par jour(s),62.55,99_dealer,2006.0,pontiac,montana,700.0,3700.0,0.1891891891891892,0,,1.0,,0.0,0.0,3176.3333333333335,104,,0
Par jour(s),106.12,36_dealer,2007.0,dodge,caliber,700.0,4395.0,0.15927189988623436,0,2016-12-16,0.0,j3p,0.0,3914.75,3702.65,39,33.0,0
Par jour(s),165.19,90_dealer,2009.0,jeep,patriot,500.0,5000.0,0.1,176000,,1.0,h1a,,,5312.12,78,27.0,0
Par jour(s),180.88,64_dealer,2006.0,acura,crv,1180.0,5900.0,0.2,0,,1.0,,0.0,0.0,5296.333333333333,104,,0
Par jour(s),113.68,99_dealer,2004.0,chevrolet,avalanche,3000.0,8500.0,0.35294117647058826,0,,1.0,j4k,0.0,4775.0,6076.333333333333,104,,0
Par jour(s),174.44,133_dealer,2007.0,jeep,grandcherokee,0.0,6666.0,0.0,0,,0.0,j4k,0.0,6999.3,7413.0,78,,0
Par jour(s),232.24,38_dealer,2008.0,bmw,323i,1500.0,7990.0,0.18773466833541927,104973,,0.0,j4l,1000.0,8039.25,7632.37,78,,0
Par jour(s),196.68,133_dealer,2009.0,dodge,charger,500.0,6000.0,0.08333333333333333,0,,1.0,j3y,0.0,6259.9,6247.0,78,,0
Par jour(s),96.64,85_dealer,2010.0,mazda,5,500.0,5950.0,0.08403361344537816,143000,2017-06-16,1.0,j5c,0.0,5747.5,6262.12,156,28.0,0
Par jour(s),62.14,73_dealer,2006.0,volvo,s40,1200.0,5995.0,0.20016680567139283,0,,1.0,h7g,0.0,5094.75,5388.0,156,50.0,0
Par jour(s),87.48,0_dealer,2011.0,ford,escape,500.0,5245.0,0.09532888465204957,0,,1.0,j0l,0.0,5007.25,5492.0,156,,0
Par jour(s),103.29,49_dealer,2008.0,nissan,altima,2000.0,8995.0,0.22234574763757642,0,,0.0,,0.0,0.0,10427.54,156,,0
Par jour(s),80.49,120_dealer,2004.0,mazda,6,500.0,3495.0,0.1430615164520744,0,,0.0,h1h,0.0,3369.75,3342.0,104,,0
Par jour(s),97.83,120_dealer,2009.0,volkswagen,rabbit,500.0,5995.0,0.08340283569641367,0,,0.0,j5m,0.0,6254.65,6242.0,156,,0
Par jour(s),248.2,160_dealer,2007.0,acura,q7,2000.0,9995.0,0.2001000500250125,0,,0.0,j2j,0.0,8954.65,8742.0,78,,0
Par jour(s),127.09,194_dealer,2011.0,ford,taurus,2500.0,9995.0,0.25012506253126565,178393,2017-07-06,1.0,j7y,0.0,7994.75,8667.61,156,62.0,0
Par jour(s),51.98,99_dealer,2002.0,volkswagen,jetta,600.0,2500.0,0.24,0,,1.0,,0.0,0.0,2076.3333333333335,104,,0
Par jour(s),187.63,120_dealer,2006.0,dodge,durango,,,,0,,1.0,j5x,0.0,5184.75,5442.0,65,,0
Par jour(s),148.96,99_dealer,2001.0,gmc,6500,4000.0,12000.0,0.3333333333333333,0,,1.0,,0.0,0.0,8576.333333333332,104,,0
Par jour(s),105.13,99_dealer,2000.0,mercedes,slk,500.0,5999.0,0.08334722453742291,0,,1.0,,0.0,0.0,6075.333333333333,104,,0
Par jour(s),194.33,199_dealer,2007.0,mazda,cx7,500.0,5995.0,0.08340283569641367,135000,2017-08-17,1.0,j4k,400.0,6254.65,6340.453333333333,78,24.0,0
Par jour(s),211.74,36_dealer,2007.0,honda,accord,1500.0,6995.0,0.21443888491779842,0,2016-04-26,0.0,h1e,300.0,6144.75,6242.0,65,25.0,0
Par jour(s),500.0,196_dealer,2009.0,mitsubishi,lancer,1500.0,4995.0,0.3003003003003003,0,,1.0,h1r,0.0,3974.7,4242.0,78,,0
Mensuelle,190.28,99_dealer,2004.0,mazda,3,420.0,1799.0,0.23346303501945526,0,,1.0,,0.0,0.0,1555.3333333333333,24,,0
Par jour(s),115.72,142_dealer,2004.0,ford,escape,1200.0,2999.0,0.40013337779259756,0,,1.0,j6w,0.0,1948.95,2146.0,39,,0
Par jour(s),161.7,81_dealer,2006.0,chrysler,300,500.0,2800.0,0.17857142857142858,0,,0.0,g9a,0.0,2669.95,2647.0,39,,0
Par jour(s),150.09,18_dealer,2005.0,mitsubishi,outlander,700.0,3000.0,0.23333333333333334,0,,1.0,h1e,0.0,2650.0,2647.0,39,,0
Par jour(s),191.5,142_dealer,2006.0,mazda,3gt,900.0,4700.0,0.19148936170212766,146650,2017-04-11,1.0,j5z,0.0,4035.0,4664.219999999999,104,22.0,0
Par jour(s),367.87,219_dealer,2010.0,dodge,grandcaravan,0.0,8273.48,0.0,0,,0.0,j2a,0.0,0.0,9912.43,42,,0
Par jour(s),101.89,194_dealer,2008.0,dodge,charger,2200.0,7995.0,0.27517198248905567,148002,2017-06-02,1.0,j7y,0.0,6194.75,6828.54,156,29.0,0
Par jour(s),91.59,19_dealer,2008.0,mazda,3gt,500.0,5500.0,0.09090909090909091,110000,2017-04-19,1.0,h1k,0.0,5275.0,5812.12,156,22.0,0
Par jour(s),113.07,174_dealer,2009.0,volkswagen,passat,1900.0,9495.0,0.2001053185887309,113225,,0.0,h1g,,,8622.803333333333,182,30.0,0
Par jour(s),131.29,199_dealer,2008.0,audi,a4,2300.0,9995.0,0.23011505752876438,175000,2017-07-28,1.0,,400.0,8654.65,8774.903333333334,156,54.0,0
Par jour(s),72.91,194_dealer,2001.0,volkswagen,passat,900.0,2295.0,0.39215686274509803,239000,2017-07-06,1.0,j5l,0.0,1509.75,1738.5533333333333,39,21.0,0
Par jour(s),78.0,191_dealer,2006.0,acura,crv,1200.0,5250.0,0.22857142857142856,0,,1.0,j7z,0.0,4312.5,4797.0,156,,0
Par jour(s),189.93,55_dealer,2006.0,volvo,v70xc,1000.0,4800.0,0.20833333333333334,200000,2017-04-12,1.0,h7y,0.0,4040.0,4677.25,52,31.0,0
Par jour(s),56.58,200_dealer,2007.0,volkswagen,jetta,0.0,2400.0,0.0,0,2016-01-22,1.0,j4p,0.0,2520.0,2400.0,52,,0
Par jour(s),96.12,99_dealer,2008.0,pontiac,g5,0.0,700.0,0.0,0,,0.0,,0.0,0.0,5376.333333333333,104,,0
Par jour(s),147.31,233_dealer,2006.0,gmc,savana,2100.0,8995.0,0.23346303501945526,0,,1.0,j7e,400.0,7744.75,7642.0,104,30.0,0
Par jour(s),83.68,217_dealer,2005.0,honda,civic,900.0,4500.0,0.2,0,,0.0,,0.0,0.0,4330.333333333334,104,,0
Par jour(s),209.66,133_dealer,2002.0,dodge,ram1500,1300.0,6333.0,0.2052739617874625,0,2016-02-11,1.0,h1m,0.0,5559.31,5780.0,52,52.0,0
Par jour(s),87.37,142_dealer,2009.0,mitsubishi,lancer,700.0,4795.0,0.145985401459854,0,,1.0,j6t,0.0,4334.75,4842.0,52,,0
Par jour(s),136.56,6_dealer,2009.0,honda,accord,1100.0,5000.0,0.22,0,,1.0,h1v,0.0,0.0,4630.333333333333,79,,0
Par jour(s),35.0,180_dealer,2007.0,mazda,5,500.0,3985.0,0.12547051442910917,0,,1.0,j6e,0.0,4144.15,4232.0,130,,0
Par jour(s),92.26,174_dealer,2007.0,,santafe,1000.0,5995.0,0.16680567139282734,135981,,1.0,j0p,,,5872.25,156,,0
Par jour(s),92.9,190_dealer,2007.0,mercedes,c280,700.0,4500.0,0.15555555555555556,217916,2017-07-26,1.0,h3h,400.0,4484.9,4638.17,104,34.0,0
Par jour(s),97.21,109_dealer,2010.0,honda,civic,500.0,6000.0,0.08333333333333333,150000,,1.0,,400.0,6259.9,6312.12,156,,0
Par jour(s),198.82,186_dealer,2007.0,gmc,canyon,1800.0,8476.0,0.21236432279377065,0,,1.0,,0.0,0.0,7406.333333333333,78,,0
Par jour(s),91.93,139_dealer,2009.0,dodge,journey,1500.0,6999.0,0.2143163309044149,0,,1.0, h2,0.0,6308.85,6246.0,156,,0
Par jour(s),86.93,160_dealer,2005.0,jeep,grandcherokee,1200.0,5995.0,0.20016680567139283,0,,1.0,j2h,0.0,5554.65,5542.0,156,,0
Par jour(s),92.99,120_dealer,2009.0,mitsubishi,lancer,1500.0,6595.0,0.22744503411675512,0,,0.0,j0t,0.0,5884.65,5842.0,156,,0
Par jour(s),158.33,181_dealer,2007.0,chevrolet,aveo,1000.0,2985.0,0.33500837520938026,0,,0.0,j5w,0.0,0.0,2332.0,39,,0
Par jour(s),91.72,184_dealer,2006.0,chevrolet,cobalt,500.0,5000.0,0.1,0,,1.0,j0s,0.0,4979.95,5247.0,130,,0
Par jour(s),151.12,198_dealer,2002.0,dodge,caravan,300.0,1995.0,0.15037593984962405,171149,2017-08-24,0.0,j6n,0.0,1794.75,1932.4033333333332,20,46.0,0
Par jour(s),99.27,15_dealer,2005.0,cadillac,cts,1250.0,7000.0,0.17857142857142858,0,,1.0,,0.0,0.0,6326.333333333333,130,,0
Par jour(s),165.08,157_dealer,2008.0,subaru,impreza,500.0,4895.0,0.10214504596527069,157650,2017-09-07,0.0,j0s,0.0,4639.75,5207.12,78,25.0,0
Par jour(s),89.22,109_dealer,2007.0,mitsubishi,endeavor,0.0,1760.0,0.0,0,,1.0,j5r,0.0,0.0,7121.333333333333,156,,0
Par jour(s),75.32,5_dealer,2008.0,chrysler,ptcruiser,1000.0,3400.0,0.29411764705882354,0,2016-03-11,1.0,g5v,0.0,2570.0,2747.0,104,,0
Mensuelle,208.32,109_dealer,2006.0,mazda,3,500.0,2495.0,0.20040080160320642,0,,0.0,j0s,0.0,0.0,4129.3099999999995,24,,0
Par jour(s),113.09,36_dealer,2008.0,jeep,patriot,1600.0,8595.0,0.18615474112856312,0,,1.0,,0.0,0.0,7571.333333333333,130,,0
Mensuelle,394.65,66_dealer,2007.0,mercedes,b200,500.0,4950.0,0.10101010101010101,196780,2017-08-28,1.0,h4l,400.0,5157.4,5262.12,30,69.0,0
Par jour(s),72.0,160_dealer,2006.0,volkswagen,jetta,1000.0,5000.0,0.2,0,2015-12-18,1.0,j0c,0.0,5513.58,4747.0,156,48.0,0
Par jour(s),170.0,228_dealer,2005.0,jeep,grandcherokee,500.0,3999.0,0.12503125781445362,0,,0.0,j7r,0.0,3698.95,4246.0,104,,0
Par jour(s),109.38,120_dealer,2006.0,jeep,commander,500.0,5995.0,0.08340283569641367,0,,1.0,j0e,0.0,6254.65,6242.0,130,,0
Par jour(s),47.66,99_dealer,2007.0,subaru,impreza,1000.0,4500.0,0.2222222222222222,0,,1.0,j4h,0.0,0.0,4076.3333333333335,52,,0
Par jour(s),93.38,8_dealer,2007.0,jeep,compass,1640.0,5700.0,0.28771929824561404,0,,1.0,,0.0,0.0,4790.333333333333,104,,0
Par jour(s),89.63,36_dealer,2008.0,honda,accord,1500.0,6295.0,0.23828435266084194,0,,1.0,j8e,0.0,5569.65,5542.0,156,,0
Par jour(s),79.0,176_dealer,2003.0,bmw,325i,1500.0,3000.0,0.5,123000,2017-06-28,1.0,h7g,0.0,1650.0,1921.7033333333331,39,21.0,0
Par jour(s),148.94,36_dealer,2003.0,ford,f250,2500.0,10995.0,0.22737608003638018,0,2015-10-06,1.0,h9a,0.0,9044.75,9071.333333333334,104,36.0,0
Par jour(s),97.16,199_dealer,2009.0,mazda,tribute,500.0,5995.0,0.08340283569641367,180000,2017-08-30,1.0,j4j,400.0,6254.65,6307.12,156,47.0,0
Par jour(s),35.0,240_dealer,2008.0,toyota,yaris,500.0,4500.0,0.1111111111111111,218655,2017-05-26,0.0,h7n,400.0,4684.9,4812.12,104,50.0,0
Par jour(s),105.66,133_dealer,2004.0,dodge,ram1500,1320.0,6600.0,0.2,0,,1.0,h1l,0.0,0.0,6010.333333333333,104,,0
Par jour(s),84.59,36_dealer,2002.0,suzuki,xl,1000.0,4500.0,0.2222222222222222,0,,1.0,j4m,0.0,0.0,4230.333333333334,104,,0
Par jour(s),156.8,99_dealer,2002.0,toyota,celica,850.0,5000.0,0.17,0,,1.0,,0.0,0.0,4226.333333333334,39,,0
Par jour(s),72.65,29_dealer,2007.0,mazda,5,1200.0,3000.0,0.4,154000,2017-07-31,0.0,j0s,400.0,2409.9,2303.29,78,21.0,0
Par jour(s),266.48,142_dealer,2007.0,ford,f150,1500.0,8650.0,0.17341040462427745,206170,2017-06-20,1.0,j5m,0.0,7582.5,8092.37,65,65.0,0
Par jour(s),242.06,120_dealer,2010.0,mazda,6gy,1650.0,6995.0,0.23588277340957828,161500,,1.0,j7v,400.0,6154.65,6306.91,78,,0
Par jour(s),147.26,36_dealer,2008.0,saturn,outlook,1400.0,6995.0,0.20014295925661185,0,,0.0,h7m,0.0,6404.65,6342.0,78,,0
Par jour(s),56.39,81_dealer,2005.0,mazda,3,1795.0,2000.0,0.8975,0,,0.0,,0.0,0.0,1371.3333333333333,52,,0
Par jour(s),209.07,160_dealer,2008.0,honda,civic,2000.0,7995.0,0.2501563477173233,0,,1.0,j0e,0.0,6854.65,6742.0,78,,0
Par jour(s),119.3,36_dealer,2006.0,bmw,325,1580.0,7995.0,0.19762351469668543,0,2015-06-22,0.0,h8n,0.0,6814.75,6991.333333333333,104,26.0,0
Par jour(s),142.68,109_dealer,2007.0,chevrolet,uplander,700.0,3495.0,0.20028612303290416,0,,1.0,j0w,0.0,0.0,3125.3333333333335,52,,0
Par jour(s),83.29,20_dealer,2005.0,gmc,savana,0.0,1600.0,0.0,0,,1.0,,0.0,0.0,7406.333333333333,104,,0
Par jour(s),86.52,200_dealer,2007.0,mercedes,b200,500.0,3995.0,0.1251564455569462,199001,,0.0,h1g,,,4307.12,104,22.0,0
Par jour(s),96.03,194_dealer,2007.0,cadillac,srx,500.0,5895.0,0.08481764206955046,0,,1.0,j7n,0.0,5689.75,6144.0,156,,0
